i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
712-1,2014_Q2,Plateau-central,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1.098612289
712-2,2014_Q2,Plateau-central,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
712-3,2014_Q2,Plateau-central,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
713-12,2014_Q2,Plateau-central,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
713-8,2014_Q2,Plateau-central,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714-4,2014_Q2,Sahel,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.098612289
714-8,2014_Q2,Sahel,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
716-11,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
716-4,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
716-8,2014_Q2,Sahel,2,1,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1.609437912
717-12,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
717-8,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718-1,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
718-11,2014_Q2,Sahel,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806
719-5,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719-6,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719-8,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72-8,2014_Q2,Boucle-du-mouhoun,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6931471806
720-13,2014_Q2,Sahel,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.098612289
720-2,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
720-5,2014_Q2,Sahel,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
722-1,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
723-1,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723-5,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724-5,2014_Q2,Sahel,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1.386294361
724-6,2014_Q2,Sahel,5,1,2,2,1,2,0,0,0,0,0,0,0,4,2,1,0,0,2.302585093
725-10,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725-11,2014_Q2,Sahel,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
725-2,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
725-3,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
726-5,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726-7,2014_Q2,Sahel,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
727-1,2014_Q2,Sahel,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
727-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727-5,2014_Q2,Sahel,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806
727-7,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727-8,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728-12,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728-13,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728-3,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
729-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729-9,2014_Q2,Sahel,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73-1,2014_Q2,Boucle-du-mouhoun,1,0,2,2,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1.609437912
73-10,2014_Q2,Boucle-du-mouhoun,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73-3,2014_Q2,Boucle-du-mouhoun,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73-5,2014_Q2,Boucle-du-mouhoun,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.6931471806
730-2,2014_Q2,Sahel,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
731-5,2014_Q2,Sahel,0,2,1,3,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1.791759469
731-6,2014_Q2,Sahel,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.098612289
731-7,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731-9,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732-11,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
732-3,2014_Q2,Sahel,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1.386294361
732-6,2014_Q2,Sahel,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
733-12,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
733-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734-1,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735-10,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
735-5,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
736-1,2014_Q2,Sahel,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
736-12,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
736-14,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736-2,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
737-5,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737-6,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737-7,2014_Q2,Sahel,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
737-9,2014_Q2,Sahel,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.098612289
738-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738-6,2014_Q2,Sahel,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
738-9,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739-10,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74-10,2014_Q2,Boucle-du-mouhoun,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74-2,2014_Q2,Boucle-du-mouhoun,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
740-11,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
740-8,2014_Q2,Sahel,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471806
741-1,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741-6,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
742-1,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742-10,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
742-11,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743-14,2014_Q2,Sahel,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1.098612289
743-2,2014_Q2,Sahel,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
743-8,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
744-2,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
744-6,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
745-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745-4,2014_Q2,Sahel,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471806
745-5,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746-1,2014_Q2,Sahel,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
746-10,2014_Q2,Sahel,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
746-12,2014_Q2,Sahel,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
747-10,2014_Q2,Sahel,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1.098612289
747-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747-4,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748-10,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
748-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748-3,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
748-9,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749-10,2014_Q2,Sahel,1,0,2,3,0,3,0,0,0,0,1,0,1,1,0,0,0,0,1.791759469
749-11,2014_Q2,Sahel,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
75-2,2014_Q2,Boucle-du-mouhoun,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471806
75-3,2014_Q2,Boucle-du-mouhoun,1,1,0,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1.609437912
750-6,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751-8,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
755-7,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757-1,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
758-11,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76-1,2014_Q2,Cascades,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
760-10,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760-6,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760-7,2014_Q2,Sahel,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
760-9,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
761-11,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
761-5,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761-7,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
762-1,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
762-11,2014_Q2,Sahel,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
763-2,2014_Q2,Sahel,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471806
763-6,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764-8,2014_Q2,Sahel,0,2,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1.609437912
765-13,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
767-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768-11,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
768-3,2014_Q2,Sahel,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
768-6,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
768-9,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
769-10,2014_Q2,Sahel,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.098612289
769-2,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77-13,2014_Q2,Cascades,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77-3,2014_Q2,Cascades,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77-5,2014_Q2,Cascades,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
770-10,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770-14,2014_Q2,Sahel,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
770-2,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
770-6,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
770-9,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771-1,2014_Q2,Sahel,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
771-12,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
772-12,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772-6,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772-7,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773-8,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
774-1,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774-12,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
774-4,2014_Q2,Sahel,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471806
774-5,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
776-11,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
776-13,2014_Q2,Sahel,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
776-2,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
776-5,2014_Q2,Sahel,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.6931471806
776-8,2014_Q2,Sahel,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
776-9,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
778-10,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
778-12,2014_Q2,Sahel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
778-2,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778-6,2014_Q2,Sahel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
778-9,2014_Q2,Sahel,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
779-10,2014_Q2,Sahel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78-10,2014_Q2,Cascades,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78-5,2014_Q2,Cascades,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.6931471806
780-6,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
780-7,2014_Q2,Sahel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
781-2,2014_Q2,Sud-ouest,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
781-3,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
782-12,2014_Q2,Sud-ouest,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
782-2,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
782-5,2014_Q2,Sud-ouest,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
782-9,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783-1,2014_Q2,Sud-ouest,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
783-11,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
784-3,2014_Q2,Sud-ouest,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
785-1,2014_Q2,Sud-ouest,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6931471806
785-12,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785-2,2014_Q2,Sud-ouest,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6931471806
786-2,2014_Q2,Sud-ouest,0,1,1,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.386294361
787-1,2014_Q2,Sud-ouest,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6931471806
787-2,2014_Q2,Sud-ouest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
787-3,2014_Q2,Sud-ouest,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471806
788-1,2014_Q2,Sud-ouest,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
788-12,2014_Q2,Sud-ouest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
788-9,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79-12,2014_Q2,Cascades,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79-6,2014_Q2,Cascades,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.098612289
79-8,2014_Q2,Cascades,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.6931471806
79-9,2014_Q2,Cascades,2,0,2,2,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1.791759469
791-10,2014_Q2,Sud-ouest,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806
791-3,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
791-4,2014_Q2,Sud-ouest,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
791-5,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
792-12,2014_Q2,Sud-ouest,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
792-13,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
792-5,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
792-7,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
793-1,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
793-11,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
793-8,2014_Q2,Sud-ouest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
793-9,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
794-1,2014_Q2,Sud-ouest,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
794-12,2014_Q2,Sud-ouest,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289
794-5,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
795-1,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
795-10,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
795-11,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
795-12,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795-8,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796-8,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797-1,2014_Q2,Sud-ouest,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
797-10,2014_Q2,Sud-ouest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
798-9,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
799-12,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-4,2014_Q2,Boucle-du-mouhoun,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80-3,2014_Q2,Cascades,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
800-4,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
800-6,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800-8,2014_Q2,Sud-ouest,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
800-9,2014_Q2,Sud-ouest,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.098612289
801-10,2014_Q2,Sud-ouest,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
801-2,2014_Q2,Sud-ouest,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471806
802-10,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
802-11,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
803-2,2014_Q2,Sud-ouest,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
803-7,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
803-9,2014_Q2,Sud-ouest,1,3,0,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1.791759469
804-4,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
805-1,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
805-12,2014_Q2,Sud-ouest,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806
805-4,2014_Q2,Sud-ouest,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
805-9,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807-2,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807-6,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808-11,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808-5,2014_Q2,Sud-ouest,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.6931471806
81-10,2014_Q2,Cascades,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81-3,2014_Q2,Cascades,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81-4,2014_Q2,Cascades,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810-9,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811-10,2014_Q2,Sud-ouest,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
811-8,2014_Q2,Sud-ouest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
813-11,2014_Q2,Sud-ouest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
813-2,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
813-4,2014_Q2,Sud-ouest,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
813-9,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814-10,2014_Q2,Sud-ouest,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
