i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
107-5,2013_Q4,Cascade,3,0,3,1,0,1,0,0,0,0,0,0,1,3,2,0,0,0,1.945910149
107-6,2013_Q4,Cascade,4,2,2,6,0,0,0,2,1,3,1,1,1,1,0,3,1,0,2.63905733
107-7,2013_Q4,Cascade,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1.609437912
107-8,2013_Q4,Cascade,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107-9,2013_Q4,Cascade,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1.386294361
108-1,2013_Q4,Cascade,1,3,1,2,1,1,0,1,2,0,0,0,0,0,1,1,0,0,1.945910149
108-10,2013_Q4,Cascade,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.098612289
108-11,2013_Q4,Cascade,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108-12,2013_Q4,Cascade,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6931471806
108-13,2013_Q4,Cascade,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
108-2,2013_Q4,Cascade,4,4,1,3,0,1,0,1,1,1,4,0,0,2,0,1,0,1,2.48490665
108-3,2013_Q4,Cascade,4,2,2,1,0,0,2,1,0,0,0,0,2,4,0,0,0,0,2.197224577
108-4,2013_Q4,Cascade,2,2,3,1,0,0,0,0,0,1,3,0,1,1,0,1,1,0,2.079441542
108-5,2013_Q4,Cascade,1,2,1,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1.791759469
108-7,2013_Q4,Cascade,1,1,1,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
108-8,2013_Q4,Cascade,2,1,4,2,0,2,1,0,0,0,0,0,1,1,3,0,0,1,2.197224577
108-9,2013_Q4,Cascade,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
109-1,2013_Q4,Cascade,13,9,7,11,0,4,5,6,3,1,1,0,4,8,2,4,1,1,3.688879454
109-10,2013_Q4,Cascade,2,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1.609437912
109-11,2013_Q4,Cascade,1,1,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
109-12,2013_Q4,Cascade,2,5,1,1,2,0,1,1,2,0,0,0,0,1,1,1,0,0,2.197224577
109-2,2013_Q4,Cascade,6,13,3,6,6,4,5,2,2,0,0,0,1,5,2,1,0,0,3.33220451
109-3,2013_Q4,Cascade,3,3,2,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,2.079441542
109-4,2013_Q4,Cascade,2,3,1,6,0,1,1,1,1,2,1,2,0,0,1,2,0,0,2.48490665
109-5,2013_Q4,Cascade,3,1,3,3,0,2,0,1,0,0,1,0,2,1,0,1,1,1,2.302585093
109-6,2013_Q4,Cascade,1,0,1,3,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
109-7,2013_Q4,Cascade,2,4,2,7,2,3,0,4,2,0,0,0,0,2,1,0,1,0,2.708050201
109-8,2013_Q4,Cascade,7,1,5,7,0,2,0,2,0,3,1,0,3,5,1,0,1,2,2.995732274
109-9,2013_Q4,Cascade,2,9,2,2,3,1,1,1,3,0,2,0,1,0,1,2,0,0,2.708050201
11-1,2013_Q4,Boucle-du-mouhoun,2,2,1,2,0,0,1,1,1,0,0,2,0,0,1,1,0,0,1.945910149
11-10,2013_Q4,Boucle-du-mouhoun,1,2,2,1,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1.791759469
11-11,2013_Q4,Boucle-du-mouhoun,1,4,1,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1.791759469
11-12,2013_Q4,Boucle-du-mouhoun,4,6,3,3,1,0,2,2,2,0,1,1,2,2,1,2,0,0,2.772588722
11-2,2013_Q4,Boucle-du-mouhoun,1,5,1,2,1,1,2,0,2,0,0,1,0,1,1,0,0,0,2.197224577
11-3,2013_Q4,Boucle-du-mouhoun,1,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1.609437912
11-4,2013_Q4,Boucle-du-mouhoun,12,8,8,11,2,3,2,2,3,5,2,1,0,1,2,6,5,5,3.663561646
11-5,2013_Q4,Boucle-du-mouhoun,2,3,4,4,1,1,1,2,1,1,1,0,3,1,0,1,0,0,2.564949357
11-6,2013_Q4,Boucle-du-mouhoun,3,4,1,9,0,1,2,4,2,2,0,2,0,1,1,2,0,0,2.833213344
11-7,2013_Q4,Boucle-du-mouhoun,5,2,6,8,0,1,1,4,0,2,1,1,2,2,3,3,1,0,3.044522438
11-8,2013_Q4,Boucle-du-mouhoun,2,1,3,1,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1.945910149
11-9,2013_Q4,Boucle-du-mouhoun,2,0,1,3,0,1,0,2,0,0,0,0,0,2,1,0,0,0,1.791759469
110-1,2013_Q4,Cascade,1,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1.609437912
110-10,2013_Q4,Cascade,1,4,2,2,1,0,0,2,3,0,0,0,1,1,1,0,0,0,2.197224577
110-11,2013_Q4,Cascade,2,2,1,6,1,3,0,2,1,1,0,0,0,2,1,0,0,0,2.397895273
110-12,2013_Q4,Cascade,2,1,1,4,1,0,0,2,0,1,0,1,0,2,1,0,0,0,2.079441542
110-2,2013_Q4,Cascade,3,3,1,4,1,1,0,1,2,2,0,0,0,0,0,3,1,0,2.397895273
110-3,2013_Q4,Cascade,1,4,1,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1.945910149
110-4,2013_Q4,Cascade,4,4,2,3,0,2,2,1,1,0,1,0,1,2,0,2,1,0,2.564949357
110-5,2013_Q4,Cascade,1,2,2,3,1,0,0,2,1,0,0,1,1,0,1,1,0,0,2.079441542
110-6,2013_Q4,Cascade,3,2,1,5,2,1,0,4,0,0,0,0,0,3,1,0,0,0,2.397895273
110-7,2013_Q4,Cascade,2,2,2,2,1,2,1,0,0,0,0,0,2,2,0,0,0,0,2.079441542
110-8,2013_Q4,Cascade,3,4,2,4,2,3,1,0,1,0,0,1,1,2,1,1,0,0,2.564949357
110-9,2013_Q4,Cascade,2,5,1,2,2,0,2,2,1,0,0,0,1,2,0,0,0,0,2.302585093
111-1,2013_Q4,Cascade,1,1,1,3,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1.791759469
111-10,2013_Q4,Cascade,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1.386294361
111-11,2013_Q4,Cascade,3,2,2,4,1,1,1,1,0,2,0,0,1,1,1,2,0,0,2.397895273
111-12,2013_Q4,Cascade,3,8,1,2,3,1,4,1,1,0,0,0,0,0,1,3,0,0,2.63905733
111-2,2013_Q4,Cascade,2,7,2,6,2,1,2,1,0,3,3,1,1,2,1,0,0,0,2.833213344
111-3,2013_Q4,Cascade,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
111-4,2013_Q4,Cascade,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
111-5,2013_Q4,Cascade,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1.386294361
111-6,2013_Q4,Cascade,2,5,2,4,0,1,1,1,1,0,3,2,1,0,0,2,1,0,2.564949357
111-7,2013_Q4,Cascade,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.386294361
111-8,2013_Q4,Cascade,1,3,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1.609437912
111-9,2013_Q4,Cascade,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1.386294361
112-1,2013_Q4,Cascade,1,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
112-10,2013_Q4,Cascade,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
112-11,2013_Q4,Cascade,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.098612289
112-12,2013_Q4,Cascade,4,5,2,1,2,0,2,1,1,0,0,0,1,2,1,1,0,1,2.48490665
112-13,2013_Q4,Cascade,1,3,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1.791759469
112-3,2013_Q4,Cascade,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
112-4,2013_Q4,Cascade,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1.386294361
112-5,2013_Q4,Cascade,1,2,2,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1.609437912
112-6,2013_Q4,Cascade,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1.386294361
112-7,2013_Q4,Cascade,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
112-8,2013_Q4,Cascade,3,3,4,2,1,1,2,0,0,0,1,1,1,1,0,1,2,1,2.48490665
112-9,2013_Q4,Cascade,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
113-1,2013_Q4,Cascade,1,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
113-10,2013_Q4,Cascade,1,3,2,5,1,3,1,0,0,2,1,0,0,1,2,0,0,0,2.397895273
113-11,2013_Q4,Cascade,3,5,3,1,0,0,0,0,2,0,3,1,2,0,0,2,1,1,2.48490665
113-12,2013_Q4,Cascade,4,1,3,6,0,1,1,2,0,3,0,1,2,2,0,1,1,0,2.63905733
113-2,2013_Q4,Cascade,1,2,2,2,0,1,0,0,2,0,0,1,1,0,1,1,0,0,1.945910149
113-3,2013_Q4,Cascade,4,13,1,4,2,0,4,1,4,2,3,1,0,2,1,2,0,0,3.091042453
113-4,2013_Q4,Cascade,3,2,1,8,1,3,0,2,1,2,0,1,0,1,1,1,0,1,2.63905733
113-5,2013_Q4,Cascade,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.098612289
113-6,2013_Q4,Cascade,2,0,4,4,0,0,0,1,0,3,0,0,3,0,0,1,1,1,2.302585093
113-7,2013_Q4,Cascade,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1.386294361
