i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1511,2011,Niger,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1512,2011,Niger,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1513,2011,Niger,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1514,2011,Niger,1,2,1,2,0,1,0,0,0,1,0,1,1,0
1515,2011,Niger,0,2,0,0,0,1,0,0,0,0,0,1,0,0
1516,2011,Niger,0,0,1,0,3,0,1,0,0,2,2,1,1,0
1517,2011,Niger,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1518,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1601,2011,Niger,0,1,1,0,0,0,0,0,0,0,0,1,0,1
1602,2011,Niger,0,0,2,0,0,0,1,1,2,2,1,0,1,0
1603,2011,Niger,1,1,0,0,0,1,0,1,0,0,0,1,0,0
1604,2011,Niger,1,2,1,0,0,1,0,0,0,0,0,1,0,0
1605,2011,Niger,1,1,0,0,0,1,0,1,0,2,0,1,0,0
1606,2011,Niger,0,0,0,0,0,1,0,2,0,0,0,1,0,0
1607,2011,Niger,0,0,0,0,0,0,0,2,1,0,0,1,0,0
1608,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1609,2011,Niger,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1610,2011,Niger,0,1,1,0,0,1,0,1,1,1,0,0,1,1
1611,2011,Niger,0,2,0,0,0,1,0,1,0,0,0,1,0,0
1612,2011,Niger,2,2,0,0,1,0,0,1,0,0,0,1,0,0
1613,2011,Niger,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1614,2011,Niger,3,0,0,0,0,1,0,0,1,0,0,1,0,1
1615,2011,Niger,1,1,0,0,0,1,0,1,1,0,0,1,0,1
1616,2011,Niger,3,1,0,0,0,1,0,1,1,0,0,2,0,0
1617,2011,Niger,1,1,1,0,1,0,1,1,1,0,0,0,1,0
1618,2011,Niger,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1701,2011,Niger,0,1,1,1,1,0,1,0,0,0,0,0,1,0
1702,2011,Niger,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1703,2011,Niger,2,1,0,0,0,1,0,0,1,0,0,1,0,0
1704,2011,Niger,1,1,1,0,0,1,0,0,0,0,0,0,1,1
1705,2011,Niger,0,0,0,1,2,0,1,0,0,1,0,0,1,0
1706,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1707,2011,Niger,0,0,0,1,0,0,0,0,0,2,0,0,0,1
1708,2011,Niger,1,1,0,1,0,1,0,0,1,1,0,1,0,0
1709,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1710,2011,Niger,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1711,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712,2011,Niger,0,0,0,0,2,0,1,0,0,0,0,0,1,0
1713,2011,Niger,1,1,0,0,0,1,0,1,0,0,0,1,0,1
1714,2011,Niger,0,0,0,0,3,0,1,0,0,0,1,1,0,1
1715,2011,Niger,0,0,0,1,1,0,1,0,0,1,0,0,0,1
1716,2011,Niger,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1717,2011,Niger,0,1,0,0,1,0,1,1,0,0,0,1,0,1
1718,2011,Niger,1,2,2,0,1,0,1,0,2,0,0,0,2,0
1801,2011,Niger,0,0,0,2,0,1,0,0,1,2,0,0,1,0
1802,2011,Niger,0,0,0,0,0,1,0,1,3,0,0,1,0,0
1803,2011,Niger,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1804,2011,Niger,2,0,0,0,0,0,1,0,0,0,0,1,0,0
1805,2011,Niger,0,0,2,0,0,1,0,1,2,1,0,0,1,0
1806,2011,Niger,1,0,0,0,0,1,0,1,1,0,0,1,0,0
1807,2011,Niger,0,0,1,2,0,0,0,0,0,0,0,0,0,1
1808,2011,Niger,0,1,0,0,0,1,0,1,1,1,1,0,1,0
1809,2011,Niger,1,0,1,2,1,1,0,0,0,0,1,1,0,0
1810,2011,Niger,1,2,0,0,0,1,0,1,0,0,0,0,1,0
1811,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1812,2011,Niger,1,0,0,0,0,0,1,1,2,1,0,0,1,0
