i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70002/07,2016-17,Western,,10,5,13,22,,,,3.2,10,33,40,0.7,10,30,128,12,24,1,,,9,,19,96,33,3,9.6,28,21,15.5,4,55,14,22,,,10,,,,,11,,,,5,,,,,,,,,3,,4,,,3,,,,,,,17,2,9,7,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/08,2016-17,Western,5,32,6,28,17,,2,,6,10,5,40,,25,27.5,28,6,22,2.5,,,7,2,20,128,45,2,8,22,19,15,6,,14,34,,,2,,,,,18,,,,3,,,5,,,,,,12,2,15,,,8,,,,,3,15,10,,15,,,,,,,,,,,2,,28,,,,,,,,,,,,,,35,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/09,2016-17,Western,,4,,,30,,,,1.4,,8,20,,,38,15,,2,,,,3,,7,10,20,2,6.2,35,7,3,10,5,15,8,,,5,,,,,,,6,,,,,,4,,,5,,8,,,,,10,,1,,,,14,,7,,,,,,5,,,,,,,,,,,,,,,2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/10,2016-17,Western,,32,10,25,24,,1,2,4,8,4,75,,13,37,28,3,12,1,2,,8,,34,86,40,4,9,30,19,17,14.3,10,19,31,,,3,,,2,,29,,,,7,,,3,,,,,,7,,,,,,,,,,5,,33,,2,3,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/11,2016-17,Western,,8,6,20,23,,5,3,7,11,18.2,30,2,10,25,19,5.5,13,1,,,9,,22,54,15,3.5,10,46,34,17,6.5,12,12,16,2,,7,6,,1,,15,,,,9,,,4,4,,,,,8,,,,,,,2,,,,5,,2,2,,,,,,5,,,,,,,5,1,,,1,,,,,,20,,,,20,,,,,,3,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/13,2016-17,Western,,54,9,49,37,,,7,5.4,9,14,55,,25,40,30,2,9,4,,,5,,27,118,50,5,12,15,29,13.5,16,,12,28,,,6,,2,,,38,3,,2,14,,,,,,,,,5,,3,20,,,,2,,,,20,18,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/14,2016-17,Western,,13,,,12,,,,2.2,6,,30,,36,13,9,2,7,2.5,2,,6,,,30,10,1,4.4,9,14,8,6,,,16,,,6,,,10,,16,,,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2.8,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/15,2016-17,Western,,18,7,15,7,,,,2.6,7.5,6.5,69,,21,8,10,,7,3,,,4.5,,8,44.5,15,3,5.3,2,14,6.5,,,,18,,,7,,,,,34,,,2,11,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/01,2016-17,Western,,15,,2,,,,,1,3,1.2,,,,,,1,3,,,,6,,,6.6,15,,1,,13,,3.6,,,,,,2,15,1,,,5.5,,,,,,,,13,,20,,,,2.8,,,,,,,,,,,86,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/03,2016-17,Western,,9,4,6,2,2,,,2,7,3.6,10,1,,11.5,,1,6,,,,2,,10,6,,,2,2,2,5.6,7,6,,,,,,15,1,2,2,4,,6,,2,,,,,,,4,,2,,18,,10,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/04,2016-17,Western,,9,,,2.4,,,,,,3.2,,,,,,,4,,,,2,4,,,,,1.5,3,5,,14,,2,,,,,,,,1,,3,6,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/05,2016-17,Western,,13,2,12,14.9,,,,2,12,3.6,25,1,,,17,6,5,,,,8,,27,117,5,3,2,,16,,11,20,,,,,,5,1,,,5,,,1,,,,,,,,,,,,3,5,18,,,,8,,,,38,,5,,,,,,,,,5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/06,2016-17,Western,4,15,,6,,,,,,6,15,15,1,,3,20.5,1,10,,,,8.5,,8,333,10,2,,7,9,4.5,12,,,,,,,15,,,,10,15,,,3,,,,1.5,,,,,1,,,,,,,,,,,,30,2.5,,2,,,,,,,,,10,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/07,2016-17,Western,,3,,6,7,,,,5.65,2,1,40,3,,4,18,,15,,,,10,,4,81,25,3.5,,17,14,9.1,2,,,,,,,15,1,,2,,6,,,2,,,,,,,,,,6,,,,,,1,,,,,40,,,,3,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/09,2016-17,Western,,13,2,,,,,,,1.5,,10,,,,,,1.5,,,,3.5,,,15,5,,,5,4,,3,,,,,,,25,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003/10,2016-17,Western,,11,,9,,,,,1,11.5,,5,,,,,13,8,,,,8.5,,6,37.5,,,,20,11.5,,2,,20,,,,,50,,2,,12,175,,2,4,,,,,,,,,,,,11,6,,,,,,,,10,,,,,5,,6,,,,,,,,,,,,1,,,,,,13,,,,80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
