i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70493/02,2016-17,Eastern,,9,,,,,,,,,2.8,58,,6,,,1,30,,,,2,,,34,52,,9,5,7,8,1,,,,,,,90,,,,,,,,3,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/03,2016-17,Eastern,,,,,5,,,,2.5,2,3,24,,,,6,,4,,,,,,,50,64,3,2,6,2,8,0.5,,2,,,,8,5,,2.5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/04,2016-17,Eastern,,7,,,,,,,,5,,48,,25,,8,3,3,,,,,,,8,25,3,5,16,1,8,6.6,,,20,,,13,,,,,,15,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/05,2016-17,Eastern,,,,,,,,,,1,,4,,30,,2,8,6,,,,1,,,6,18,1.5,,,7,,0.4,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,0.5,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/06,2016-17,Eastern,,,,,,,,,2,6,2,50,3,25,,14,4.5,7,,,,,,,20.8,8,1,10.5,11,8,11,4,,4,4,,,,19,3,4.5,,,,,,2,,,,,,,,7,,10,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/07,2016-17,Eastern,,,,,,,,,1,5,,10,,8,,6,9,8,,,,2,,,27,39,3,8.5,10,4,2,4.2,,4,,,,17,,,,,,,,,12,,,,4.5,,,,8,,,2,,,,,0.5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,1.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/08,2016-17,Eastern,,,,,2,,,,2,,,18,0.5,26,,,2,3,,,,,,,,18,1,9.4,2,1.5,13.7,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,7,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/09,2016-17,Eastern,,,,,2,,,,,,,,,16,,0.5,,5.2,,,,2.5,,,4,3,1.5,14.5,7,1,,2,,,7,,,15,,,,,,,,,1.5,,,,,,,,,,,,,,,,1.5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/11,2016-17,Eastern,,4,,,,,,,2.5,1.5,3.8,10,0.5,20,3,4.5,4,5,,,,0.5,,,33.5,10,1.5,3.5,3,6,7,1.2,5,1,,,,,,,3,,,12,,,,,,,6,,,,,,,2,,,,1,1,,,,,12,,,,,,,,,,,,,,5,,,,,,,,,,,,12,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/12,2016-17,Eastern,,21,,,,,,,0.8,3,1.6,17,,35,,7,8,9,,,,,,,23,33,1.5,10.3,5,11,5,1.2,,4,,,,27,6,,,,,,,,8,,,,,,,,2,,,,,5,,,3.5,,,,,5,,,,,,,,,,,,,,2,,,,,,,,7.5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/13,2016-17,Eastern,,6,,,,,,,,,,15,,14,,0.5,,8,,,,,,,18,24,2,,6.5,1,7.8,,,,,,,,,,,,,,,,8,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70493/14,2016-17,Eastern,,1,,,,,,,6,8.5,3,30,4,33,,7,4,13,,,,4,,,57,44,3.5,6.7,10,15,16,3.5,,4,7,,,8,20,3,,2,,,,,16,,,,6,,,,3,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/01,2016-17,Eastern,,,,,,,,,4,5,2.8,7,,63,,9,9,5.5,,8,,4,,,10.4,7,,0.5,,19,16,,,,,,,3,45,,,,,,,,8,,,,,,,,,,,,,,,,1.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/02,2016-17,Eastern,,,,,,,7,,6,6,,11,1,70,,17,9,17,,,,4.5,,,31.5,51,,5,5,26,18.5,0.6,,,,,,,30,,,,,,,,2,,,10,,,,,,,,,,,,,2,,,,,,2.5,6,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/03,2016-17,Eastern,,2,,,1.2,,,,4.6,,1.4,21,,38,,1.5,22,10.5,,,,1.5,,,9,27,,6,2,15,8.4,,,,,,,13,16,,,,,,,,3,,,,1.5,,,,,,,,,,,,5,,,,,,,3,2,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/04,2016-17,Eastern,,,,,,,,,6.4,,,10,,145,,,27,17,,,,5,,,,81,,,2,24,11.5,,,,,,,11,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/05,2016-17,Eastern,,,,5,,,,,,,,,,50,,,8,,,,,,,,,19,,,,10,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/06,2016-17,Eastern,,,,,,,,,3.8,1,,14,,75,,,23,9,,,,1.5,,,,,,,,11,5.4,,,,,,,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/07,2016-17,Eastern,,,,,,,,,6.4,2,,,,112,,2,26,14.5,,,,2,,,8.8,37,,,,29,9.9,,,,,,,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/08,2016-17,Eastern,,1,,,,,,,5.6,2,2.1,10,,54,,6,18,11,,,,2,,,14.7,33,,,,17,11.5,,,,,,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/09,2016-17,Eastern,,,,,,,,,,4,,24,,34,,,,6,,,,4,,,3,10,,,,12,5,,,,,,,,8,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/10,2016-17,Eastern,,,,,,,,,3.6,,1.4,4,,53,,4.5,18,,,,,,,,15.6,8,,,,5,6.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/11,2016-17,Eastern,,5,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,2,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/12,2016-17,Eastern,,,,,,,,,5.4,,,10,,60,,1.5,19,10,,,,1,,,4.4,10,,1.5,1,18,8.6,0.5,,,,,,17,10,,7,,,,,,3,,,,,,,,,,,,,,,,0.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,2.5,,,,,0.5,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/13,2016-17,Eastern,,3,,,,,,,6.2,3,,6,3,85,,3,26,12,,,,,,,9,49,,1.5,2,19,12.6,1,,,,,,6,35,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,,,,,,,,,,,,,,,,,,,6,,,,,0.5,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/14,2016-17,Eastern,,,,,,,,,4.8,1,,10,,70,,,19,9,,,,,,,,14,,1,,15,5.4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70494/15,2016-17,Eastern,,,,,,,2,,5.8,1,,32,,80,,11,27,19,,,,3,,,26,24,,,,23,13.8,20.4,,,,,,16,10,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,6,1.5,,,,,,,,,,,,,,,,,,,4.5,,,6,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/01,2016-17,Eastern,,14,12,39,,,5,,0.6,5,1.2,,0.5,16,,1.5,9.5,9,,,,13,,107,40,45,1.2,0.4,4,20,8.7,,,,2,,,,,0.8,4,,25,,,,10.5,,,,,,,,,,,,,,,,0.2,,,,,,,6,3,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,1.5,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/02,2016-17,Eastern,,20.5,4,,,,4,,,,,,,,,,,6,4.2,,,11,,27,14,,2,2.4,2,4,8.4,,,,,,,24,4,,,,16,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
70495/03,2016-17,Eastern,,17,6,73,,,2.5,,2,4,4.8,4,1.5,,,4.4,2,12,,,,6,,,45.5,19,1,3.9,4,9,12.5,14.5,,,5.5,,,3,20,1.5,6,,18,,,,31.5,,,4,,,,12,,,,,,,,,7,,,,,,,5.5,1.5,,,,,95,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,1,,,,1,55,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/04,2016-17,Eastern,,10,10,68,,,6.5,,1.4,13.5,4.8,,,28,,,5.5,8,2,2,,10,,69,12,16,0.5,0.7,3,12,4.1,,,1,1,1.8,,2.5,10,0.5,4,,31,,,,23,,,,,,,,,,,,,,,,,,,,,,,8.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/05,2016-17,Eastern,,11,9,,,,3,,1,9.5,4.8,,,12,,,3.5,4,1,,,9,,10,38,4,,1.4,,8,7,10.8,,,2,,,6,11,1,2,,23,,,,20,,,,,,,4,,,,,,,,,2,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,18,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/06,2016-17,Eastern,,5,11,3,,,2,,1.4,3,,,,20,,2,1.5,7.5,1.5,,,8.5,,18,62,30,0.5,2.2,3,5.5,7.5,4.5,,,3.5,,,2,13,0.3,15,,28,5,,3,9,,,,,,,,3,,,1,,,,,1.5,,,,,,,1,3,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/07,2016-17,Eastern,,23,8,10,,,4.5,,0.2,7,,,,13,,,5,3.5,0.6,8,,5,,29,16,12,2,2,2,6,4.5,,,,0.5,,,1.5,,,,,24.5,,,,11,,,,,,,,,,,2,,,,,,,,,,,,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/08,2016-17,Eastern,,5,11,5,,,5,,,1,,,,11,,2,,10,,,,10.5,,41,17.5,30,3.5,,5,6,4.1,,,,,,,,,,2,,23,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,,,
70495/09,2016-17,Eastern,,4.5,1,3,,,1,,0.2,,,,,5,,1,,1.5,1.4,,,1,,,9,4,1.5,,4,3.5,0.7,3.5,,,,,,,,0.3,1.5,,2.8,,,,2,,,,,,,,,0.5,,,,,,,0.6,,,,,,,1,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/12,2016-17,Eastern,,11,4.5,4,,,1.5,,,1,,,,2,,,0.5,4,,,,5.5,,15,,11,,0.2,,8.5,,,,,0.5,,,8,16,,3.9,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,17.5,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/14,2016-17,Eastern,,16,10,,,,4.2,,,4.5,,,0.5,14,,6,8.5,7,,,,3.5,,,20,20,1,3.7,,16,2.4,10,,,8.5,,,5,26,1.5,,,29,,,,25,,,4,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70495/15,2016-17,Eastern,,16,2,,,,3,,2.5,4,4.5,,,21,3,4,9.5,3,2,,,8,,13,28,31,0.5,3.5,2,7,11.8,1.5,7,,12.5,0.5,,1,,1.5,2,,5,,,1,2,,,,,,,4,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/01,2016-17,Eastern,,26,,,19.8,,,,5.6,2,,,4,90,20,4,21,13,,,,13,,,,50,5,4.7,15,12,29,,,12,,1.7,,15,5,6,16.4,,,,6,,,,,,,,,,,,3,10,,,,,1,,,,,,,14,7,,50,,,,,,,,,,,,,,,,,2.5,,,,,,,,,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/02,2016-17,Eastern,,12,,39,2,,,,2.8,2,,19,,35.5,,,3,15,,,,,,21,,6,1,1.8,2.5,3,15,,10,1,9,,,8,10,,11,,2,,,,25,,,19,,,,,,,,,,,,,0.4,,,,,10,,7,7.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,20,
70496/04,2016-17,Eastern,,10,,31,,,,,,6,,4,1,16,,,0.5,9,,,5,6.5,,31,,,0.5,,,16,,6,17,,5,,,9,,2,10,,,,,,20,,,12,,,,,,6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/06,2016-17,Eastern,,11,,,,,,,3.2,,,,,82,,,3,6,,,,,,,8.8,,,0.2,1,,16,,,9.3,2.5,1.1,,15,,0.5,9,,14,,,,,,,19,,,,,,,,,,,8,,3.5,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/08,2016-17,Eastern,,15,,,2.8,,,,0.4,,2.8,,,,,,,1.6,,,,3.5,,,,1,,0.2,5,,1,5.9,,10,,,,19,,,2.2,2,,,,,1,,,,3,,,9,,3,,,,,5.7,,,,,,,,3,1,,,16.2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/09,2016-17,Eastern,,1.5,,,,,,,5.8,,,,,100,,,3,14,,,,16,,,,5,2,,,,30,,,,2,,,22,,1,5.6,,18,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/11,2016-17,Eastern,,35,,20,16.8,,,,4.4,,7.8,,6,67,2,,7,11,,2,,3,,5,25,15,3,7,15,,25,,48,28,11,2.6,,17,,3.4,23,,,,,,,,,,4.5,,,,,,,7,,,,,5,,,,,,,5,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/13,2016-17,Eastern,,6.5,,18,,,,,1.8,,,,,34,,,1,5.8,,,,4.5,,36,,15,0.5,,10,,14,,,,3,,,11,,3,,,15,,,,30,,,15,,,,,,,,,,,,,1,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70496/15,2016-17,Eastern,,13,,,,,,,3.6,,2,,2.5,25,6,10,3,15,,,,9.5,,,,48,,0.4,2,4,22,14.3,,11,2.6,2.1,,28,,1.5,13.2,,5,,,,,,,,3,,,,,,9,,,,,,3,,,,,35,6,,,,28,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/01,2016-17,Eastern,,,40,,,,,,2,6,,,,,,4,5,11,,,,,,,55,,5,2,,16,8,,8,,5,,,,12,,9,,40,,,,1,,,9,,,30,,,,,,,20,,,,,,,,,9,,,,6,,,,,,,,,,,,,,,3,,,,,5,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/02,2016-17,Eastern,,8,5,,,,,,2.4,10,,,,,,19,9,14,,,,,,4,50,,5,,10,22,15.2,,12,,25,,,,,,2,,20,3,,,,,,9,,,,,,,,,,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/03,2016-17,Eastern,,6,15,5,,,,,,3,,,,,4,19,6,12,,,,,,,,,2,,2,12,8,,20,,5,,,,,,4,,,,3,,4,,,,4,,,,,,,,,,,,2,,,,,35,9,,,,,,,,,,,,,,10,,,,,,,,,,58,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/04,2016-17,Eastern,,10,6,,,,,,,2,,,,,2,19,,14,,,,,,,12,,12,2,8,20,10.4,,30,2,5,,,,,,,,,,,,4,,,5,16,,,,,,,,,15,,,,,,,,17,6,,,,,,,,,,,,,,,,,,,,,,,,62.4,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/05,2016-17,Eastern,,,20,8,3,,1,,3,9,2,,,,,20,7,14,,,,2,,2,35,,5,,14,25,16,,6,,5,,,,10,,,,,5,,,2,,,2,,,,,,,,,,,,,,,,,,10,2.5,,,,8,,3,,,,,,,,,,,,,,,,,,20,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/06,2016-17,Eastern,,,45,13,,,,,4,14,,,2,,2.9,22,10,9,,,,,,2,,,5,2,18,11,4,0.4,45,2,3.3,,,,,1,4,,20,7,3,,2,,,14,,,,,,,,,,,,,,,,,,15,13.5,,,,16.8,,,,,,,,,,,,,,,,,,,,39.2,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/07,2016-17,Eastern,,,18,9,,,,,1.8,3,,,,,3,13,2,12,,,,1,,,,,4,1,7,17,6,,15,,,,,,10,,,,10,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,61.8,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/08,2016-17,Eastern,,,15,,,,,,0.8,4,,,,,,11,7,8,,,,,,,,,4,,,12,5,,28,,5,,,,15,,,,12,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/09,2016-17,Eastern,,,50,,20,,,,2,8,,,,,,12.5,7,24,,,,,,,,,1,,8,13,18,,,,5,,,,,,,,,120,,,,,,4,,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,,,,80,,,,,,,,,,300,,,,,,,,15,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/10,2016-17,Eastern,,,30,,,,,,2,13,,,,,,22,13,12,,,,,,,6,,5,,8,16,19.8,,,,,,,,,,7,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/11,2016-17,Eastern,,2,17,,,,,,1,2,,,,,,10,3,8,,,,2,,,15,,3,0.6,,12,7,,10,,6.5,,,,,,,,10,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/12,2016-17,Eastern,,12,20,5,3,,,,0.6,4,,,,,,16,5,7,,,,,,,39,,3,,10,17,7.1,,37,,,,,,25,,,,,2,,,5,,,1,,,35,,,,,25,,30,,,,,,,,30,2.5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/13,2016-17,Eastern,,4,10,,,,,,1.8,6,,,,,,16,2,8,,,,,,,,,1,2,2,15,16,,,,5,,,,,,1,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,30.4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/14,2016-17,Eastern,,2,25,5,,,,,1,8,,,,,,7,2,8,,,,,,,9,,1,,7,11,7,,15,2,4,,,,28,,2,,25,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70497/15,2016-17,Eastern,,3,20,14,,,2,,2.4,7,,,,,2,19,11,6,2,,,,,,84,,,,4,16,19,,25,9,,,,5,,,,,35,,,,,,,7,,,20,,,,,,10,,,,,,,,,,6,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
