i,t,m,Females 00-00,Females 01-04,Females 05-09,Females 10-14,Females 15-19,Females 20-29,Females 30-49,Females 50-59,Females 60-99,Males 00-00,Males 01-04,Males 05-09,Males 10-14,Males 15-19,Males 20-29,Males 30-49,Males 50-59,Males 60-99,boys,girls,log HSize,men,women
70236/14,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1.609437912,1,1
70236/15,2016-17,Greater Accra,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1.386294361,1,1
70237/01,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70237/02,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1.791759469,3,1
70237/03,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70237/04,2016-17,Greater Accra,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1.791759469,1,3
70237/06,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70237/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70237/08,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,0,1.609437912,1,1
70237/09,2016-17,Greater Accra,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,1.791759469,0,2
70237/10,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70237/11,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70237/12,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,2,0
70237/13,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70237/15,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70238/01,2016-17,Greater Accra,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.609437912,1,1
70238/03,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1.386294361,1,1
70238/04,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1.098612289,1,1
70238/05,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,0,5,0,1.945910149,1,1
70238/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70238/09,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,0,1.609437912,1,1
70238/10,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70238/12,2016-17,Greater Accra,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,1.791759469,1,1
70238/13,2016-17,Greater Accra,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2,1.791759469,2,1
70238/14,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1.386294361,0,1
70239/01,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70239/02,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.098612289,2,1
70239/03,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1.386294361,1,1
70239/04,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70239/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70239/07,2016-17,Greater Accra,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,1
70239/08,2016-17,Greater Accra,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,1.791759469,1,1
70239/09,2016-17,Greater Accra,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1.609437912,2,2
70239/10,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70239/11,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1.386294361,2,1
70239/12,2016-17,Greater Accra,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1.609437912,1,1
70239/13,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70239/14,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70239/15,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70240/01,2016-17,Greater Accra,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70240/02,2016-17,Greater Accra,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1.386294361,1,1
70240/03,2016-17,Greater Accra,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1.609437912,1,2
70240/04,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70240/05,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.098612289,2,1
70240/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,3,0,1.386294361,0,1
70240/08,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70240/09,2016-17,Greater Accra,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,3
70240/10,2016-17,Greater Accra,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1.791759469,3,3
70240/11,2016-17,Greater Accra,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1.945910149,2,2
70240/12,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6931471806,0,1
70240/13,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,4,0,1.791759469,0,2
70240/14,2016-17,Greater Accra,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1.386294361,1,1
70240/15,2016-17,Greater Accra,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,3
70241/01,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,2,0
70241/02,2016-17,Greater Accra,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,2,2,1.945910149,1,2
70241/03,2016-17,Greater Accra,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1.609437912,0,2
70241/04,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,1
70241/05,2016-17,Greater Accra,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,1.791759469,1,1
70241/06,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,1.386294361,0,1
70241/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806,2,0
70241/08,2016-17,Greater Accra,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1.791759469,1,2
70241/09,2016-17,Greater Accra,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70241/10,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,1.609437912,1,1
70241/11,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70241/12,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,2,1.791759469,1,1
70241/13,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70241/14,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.098612289,1,1
70242/01,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70242/02,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70242/03,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70242/04,2016-17,Greater Accra,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289,1,2
70242/05,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.386294361,2,2
70242/06,2016-17,Greater Accra,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70242/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70242/08,2016-17,Greater Accra,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70242/09,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70242/10,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70242/11,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70242/12,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70242/13,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1.386294361,1,1
70242/14,2016-17,Greater Accra,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1.386294361,1,1
70242/15,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70243/01,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70243/02,2016-17,Greater Accra,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1.386294361,1,2
70243/03,2016-17,Greater Accra,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70243/04,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70243/05,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1.386294361,1,1
70243/07,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1.386294361,1,1
70243/08,2016-17,Greater Accra,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.098612289,1,2
70243/09,2016-17,Greater Accra,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1.609437912,1,1
70243/10,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70243/12,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,2,0
70243/13,2016-17,Greater Accra,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70243/14,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70243/15,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70244/01,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806,2,0
70244/02,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1.098612289,0,1
70244/03,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1.098612289,1,1
70244/04,2016-17,Greater Accra,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,1.386294361,0,1
70244/05,2016-17,Greater Accra,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289,1,2
70244/06,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289,2,1
70244/07,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70244/08,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,1.386294361,1,1
70244/09,2016-17,Greater Accra,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,2,1,2.079441542,3,2
70244/10,2016-17,Greater Accra,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1.386294361,1,1
70244/11,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1.386294361,3,1
70244/13,2016-17,Greater Accra,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1.609437912,1,2
70244/14,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1.386294361,3,1
70244/15,2016-17,Greater Accra,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,1.609437912,1,1
70245/01,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70245/02,2016-17,Greater Accra,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,2,1.791759469,1,1
70245/04,2016-17,Greater Accra,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70245/05,2016-17,Greater Accra,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,1.609437912,1,1
70245/06,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,2,1,1.609437912,1,1
70245/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70245/08,2016-17,Greater Accra,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70245/10,2016-17,Greater Accra,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1.609437912,1,1
70245/11,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1.386294361,1,2
70245/12,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.6931471806,0,1
70245/13,2016-17,Greater Accra,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70245/14,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70245/15,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1.609437912,1,1
70246/01,2016-17,Greater Accra,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,2,1,1.945910149,2,2
70246/02,2016-17,Greater Accra,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,3,0,1.945910149,2,2
70246/03,2016-17,Greater Accra,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1.386294361,0,2
70246/04,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70246/05,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70246/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70246/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70246/08,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70246/09,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70246/10,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.6931471806,1,0
70246/11,2016-17,Greater Accra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,1,0
70246/12,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1.386294361,2,1
70246/14,2016-17,Greater Accra,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.098612289,1,2
70247/01,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1.098612289,1,1
70247/02,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70247/03,2016-17,Greater Accra,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.609437912,0,3
70247/04,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.098612289,1,1
70247/05,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70247/07,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70247/09,2016-17,Greater Accra,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1.609437912,1,3
70247/10,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1.386294361,2,2
70247/11,2016-17,Greater Accra,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1.609437912,1,1
70247/12,2016-17,Greater Accra,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1.609437912,1,2
70247/13,2016-17,Greater Accra,0,0,0,1,1,2,0,1,0,0,1,0,1,1,0,0,0,0,2,2,2.079441542,1,3
70247/14,2016-17,Greater Accra,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1.609437912,3,2
70247/15,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.098612289,2,1
70248/01,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,3,0,1.609437912,1,1
70248/02,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1.386294361,2,1
70248/03,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1.098612289,2,1
70248/04,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70248/05,2016-17,Greater Accra,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70248/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70248/07,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70248/08,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70248/11,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70248/12,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70248/13,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70248/14,2016-17,Greater Accra,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,1,1.791759469,1,1
70248/15,2016-17,Greater Accra,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,1.609437912,1,1
70249/02,2016-17,Greater Accra,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70249/03,2016-17,Greater Accra,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70249/04,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806,1,1
70249/05,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70249/06,2016-17,Greater Accra,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1.609437912,2,1
70249/07,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70249/08,2016-17,Greater Accra,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.609437912,1,3
70249/09,2016-17,Greater Accra,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1.791759469,2,2
70249/10,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.098612289,1,1
70249/11,2016-17,Greater Accra,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289,1,2
70249/12,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,3,0,1.609437912,1,1
70249/13,2016-17,Greater Accra,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70249/14,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.6931471806,1,0
70249/15,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70250/02,2016-17,Greater Accra,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1.609437912,2,3
70250/04,2016-17,Greater Accra,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70250/06,2016-17,Greater Accra,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,2,1,1.791759469,1,2
70250/09,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70250/10,2016-17,Greater Accra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70250/11,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70250/12,2016-17,Greater Accra,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.098612289,1,1
70250/14,2016-17,Greater Accra,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.386294361,1,2
70250/15,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70251/01,2016-17,Greater Accra,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1.791759469,2,2
70251/02,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70251/03,2016-17,Greater Accra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70251/05,2016-17,Greater Accra,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,1,1.609437912,1,1
70251/06,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.6931471806,1,0
70251/07,2016-17,Greater Accra,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70251/08,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70251/09,2016-17,Greater Accra,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,1.791759469,1,1
70251/10,2016-17,Greater Accra,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.386294361,2,1
70251/11,2016-17,Greater Accra,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1.945910149,5,1
70251/12,2016-17,Greater Accra,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1.098612289,0,1
70251/13,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806,1,1
70251/14,2016-17,Greater Accra,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1.386294361,2,1
70252/02,2016-17,Greater Accra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70252/03,2016-17,Greater Accra,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1.098612289,1,1
70252/04,2016-17,Greater Accra,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,3,1,1.609437912,1,0
70252/07,2016-17,Greater Accra,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70252/08,2016-17,Greater Accra,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,0,1,0,0,2.197224577,6,3
70252/09,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70252/10,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70252/11,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70252/12,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70252/13,2016-17,Greater Accra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70252/15,2016-17,Greater Accra,0,3,0,0,0,2,1,0,0,0,0,2,0,1,0,1,0,0,2,3,2.302585093,2,3
70253/01,2016-17,Greater Accra,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1.609437912,1,1
