"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5437008919.36332","5326011532.69082","5095557054.25914","4841130628.85051","4826194519.93874","4932002147.80552","5292522742.11381","5633238745.06112","6160767962.22499","6877799321.80897","7436462216.11841","7607785632.99758","7663212656.47965","7941685935.05877","7883010476.85547","7759744500.21024","8388864489.09995","8635871586.57351","8741450563.4232","8428563270.43928","7584493871.20543","7662679331.37617","7495506153.48412","7185741236.56059","7051915422.86638","7428375068.18559","7540800000","7656017615.99265","8142545865.85088","8183097967.35579","7329060237.09682","5943171320.00355","7330427488.72575","7893269712.48249",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9206337425.97074","9635751849.17198","10163025406.4096","10620070349.0574","10968964191.5019","11499978962.1955","11925789626.4911","12563205049.9804","13197798799.2007","12634121334.2618","12645714015.1472","12625655971.2207","12543225543.4105","12549610375.3235","12790689892.5541","13009603672.713","13295914016.0545","13484979801.4394","13778003529.3611","14096154107.8723","13606336178.4459","14154384596.0174","14440305371.3881",
"Belarus","BLR","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8254327470.07957","7739459159.97462","7315254742.27343","6957010375.96632","5984169856.40821","5286690626.50399","5568612558.22637","6173983132.39013","6991881964.91925","7627821011.52596","8217307368.22234","9639421168.64868","10703635277.8335","11473499037.904","12552098630.5343","14389970457.4727","16218121847.3941","18386337974.9414","21389059511.9001","21389102133.2624","23410821792.7651","23927681113.5899","26484818579.1528","29305960452.7243","30560782780.2201","29851833386.8099","28899534300.8203","30252727389.0359","30714576034.8752","32270794974.5105","31885374074.1248","33403144700.0964","33159795007.517",
"Belize","BLZ","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","330423825.759152","261655521.738015","296703625.212679","273952968.728705","233419509.121752","219238852.006255","202870875.179273","241470657.999132","283311248.298934","316846045.1751","341780811.49642","371997785.28188","603152359.584027","622027067.658013","653173212.981929","673352653.317044","680812510.123039","701788757.413653","753154173.316583","806197788.43293","869248843.048147","931795923.010703","1003911307.03602","1045184213.82755","1043234154.48105","1031039574.02543","1008707838.34501","1032644745.89209","1049687096.74488","1011912010.32911","1041467487.1345","1066803735.33888","1116193264.79319","1181202389.81905","1222803772.83589","1265899492.56227","1277561061.05011","1271111249.10348","1299405900.14462","1355292972.41203","1184489368.7043","1384273673.47033","1495360921.89096",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3210580963.34591","3237728000","3459815980.37024","3264228607.65873","3139254707.3202","3087511057.00905","2794300404.39519","2891139737.67894","2985574916.71037",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","3623697263.47756","3887238882.60934","3893454486.82774","4112165060.60845","4146021186.58678","4445309340.1536","4782516354.85846","5072324793.17855","5221968869.99973","5562561497.28731","5927530535.23094","6139072133.85671","6199895304.55489","6712675314.73855","6925407578.99697","7210075893.46866","7773856082.54117","8175011187.35956","7945708825.71276","8013675990.73564","8161814707.53567","8195491642.01604","7867140397.86173","7506530244.87399","7504997699.42622","7803574418.40792","8191819849.84418","8446476404.97256","8521653997.7733","8673747066.72244","8966639980.68025","9264635519.82884","9594044326.82371","9913038360.90781","10203850133.8645","10504561338.4965","10847627821.3483","11436545311.6088","12037332571.4872","12369852009.0003","12654748537.8284","12815367528.7344","13077398604.1422","13323766161.4435","13711487392.9357","14167993006.4322","14744803150.3836","15359614158.184","16201768382.6099","16796883111.844","17464997037.5406","18373771543.1625","19219984363.0971","20359194057.2165","21462687325.2329","22578642604.9204","23345741706.8994","24450176518.9145","25501853744.0768","26439271462.4853","24362281301.6999","25663593692.7974","26526858187.0968",
"Brazil","BRA","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","108946623323.431","119010290159.387","126591321892.744","125708330811.334","129984175551.04","131313901461.431","136877844270.465","148902857884.555","166372621834.588","159392054188.661","188655613020.338","213141791186.59","237722456100.79","259475983865.995","290628722081.418","275291144542.552","323438291812.953","360609972903.327","367456804731.77","406146086307.217","442395933765.111","432065013434.264","446087845179.474","469019597746.144","513491424517.295","507152195933.695","511502744879.577","491431281282.128","497951684920.337","478586041977.804","526249579953.4","524978858184.815","519485505622.191","544553259843.217","589236981038.436","643608327278.391","665264754046.702","685814678747.325","680071133446.799","682380589940.901","711003302374.448","715969374460.378","724775988857.686","720384880915.443","748663862610.192","782568862403.697","824374135297.351","877442276943.864","934919264403.574","976713994333.08","1037653899666.68","1087652832936.25","1125696017680.18","1164812371618.31","1190926536869.05","1152781384674.76","1108885242943.59","1130707767711.44","1157343818067.98","1187151068728.08","1133096241764.18","1168376917379.04","1218617124811.27",
"Barbados","BRB","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3629900000","","","","","","","",
"Brunei Darussalam","BRN","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000457604.23689","1048666182.62383","1031041575.20637","1261717006.54071","1478914814.69774","1363836304.44637","1299039789.09885","1446775762.43978","1633908010.45891","1473731084.39756","1431742982.37083","1331679409.8439","1387787686.25951","1397620027.73109","1618581738.94353","1817052796.89427","1806781579.10981","1874173323.9478","1911703485.9592","1945293967.58058","2042333187.11111","2078935093.58944","2191424271.39641","2381255930.05316","2524907669.77232","2431222962.21464","2558336285.03954","2524634591.17764","2643882237.39347","2701454039.67724","2861814757.00761","3013956504.18713","3675319065.89248","3981508656.26204",
"Bhutan","BTN","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227764668.180641","268167575.887359","308689810.348149","241822843.04846","216743657.596803","231177974.76344","268481681.356956","279826239.900054","347021028.864499","330753910.587552","313286273.621476","291618756.758283","349981462.892846","408882271.72814","444726113.788244","544167588.837714","348495233.952694","609049979.774189","557052021.957262","617692996.650967","653982427.745725","693291304.711811","675601997.075734","1093330156.5537","1001635653.59272","1107832055.72071","1082446135.52915","1148685338.79969","1239488720.18645","1215759597.58861","1253914811.46316","1223704048.73205","",
