i,t,m,Males 00-00,Females 00-00,Males 01-04,Females 01-04,Males 05-09,Females 05-09,Males 10-14,Females 10-14,Males 15-19,Females 15-19,Males 20-29,Females 20-29,Males 30-49,Females 30-49,Males 50-59,Females 50-59,Males 60-99,Females 60-99,log HSize
1710,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6931471805599453
1711,2018,Togo,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.3862943611198906
1712,2018,Togo,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2.1972245773362196
1801,2018,Togo,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1.791759469228055
1802,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1803,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1804,2018,Togo,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1.791759469228055
1805,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1806,2018,Togo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0986122886681098
1809,2018,Togo,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1.6094379124341003
1810,2018,Togo,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
1811,2018,Togo,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.791759469228055
1812,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.3862943611198906
1813,2018,Togo,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
1816,2018,Togo,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0986122886681098
1901,2018,Togo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.6931471805599453
1903,2018,Togo,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1.6094379124341003
1904,2018,Togo,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1.0986122886681098
1906,2018,Togo,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1.6094379124341003
1907,2018,Togo,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1.3862943611198906
1908,2018,Togo,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1.791759469228055
1911,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
2001,2018,Togo,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0986122886681098
2002,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6931471805599453
2003,2018,Togo,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2004,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.3862943611198906
2005,2018,Togo,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1.0986122886681098
2006,2018,Togo,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1.3862943611198906
2007,2018,Togo,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.6094379124341003
2008,2018,Togo,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,1.791759469228055
2009,2018,Togo,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.3862943611198906
2010,2018,Togo,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2011,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
2012,2018,Togo,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1.791759469228055
2102,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1.3862943611198906
2103,2018,Togo,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1.3862943611198906
2105,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2106,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6931471805599453
2107,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1.0986122886681098
2108,2018,Togo,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1.791759469228055
2109,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471805599453
2110,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2111,2018,Togo,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
2112,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2202,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2203,2018,Togo,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2204,2018,Togo,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
2205,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471805599453
2206,2018,Togo,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1.791759469228055
2207,2018,Togo,0,0,0,0,1,1,0,2,1,1,0,0,0,2,1,0,0,0,2.1972245773362196
2208,2018,Togo,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.3862943611198906
2209,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
2210,2018,Togo,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1.791759469228055
2211,2018,Togo,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1.791759469228055
2212,2018,Togo,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1.9459101490553132
2215,2018,Togo,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1.6094379124341003
2302,2018,Togo,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1.791759469228055
2303,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6931471805599453
2304,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.0986122886681098
2305,2018,Togo,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1.6094379124341003
2307,2018,Togo,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471805599453
2308,2018,Togo,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1.791759469228055
2309,2018,Togo,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.3862943611198906
2310,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2311,2018,Togo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.6931471805599453
2401,2018,Togo,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.3862943611198906
2402,2018,Togo,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2404,2018,Togo,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,1.791759469228055
2405,2018,Togo,1,0,0,1,1,0,2,0,0,2,0,0,0,1,1,0,0,0,2.1972245773362196
2406,2018,Togo,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1.9459101490553132
2407,2018,Togo,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1.6094379124341003
2408,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2409,2018,Togo,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1.9459101490553132
2410,2018,Togo,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469228055
2411,2018,Togo,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2414,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
2415,2018,Togo,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,2,2.1972245773362196
2501,2018,Togo,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1.3862943611198906
2502,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2503,2018,Togo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471805599453
2504,2018,Togo,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1.3862943611198906
2505,2018,Togo,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
2506,2018,Togo,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1.3862943611198906
2507,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
2508,2018,Togo,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
2509,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6931471805599453
2510,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2512,2018,Togo,0,0,2,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,2.0794415416798357
