i,t,m,women,men,boys,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
24203,2019,fatick,2,1,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1.609437912,1
24204,2019,fatick,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1.098612289,1
24205,2019,fatick,3,2,3,4,1,1,2,2,0,1,0,0,1,1,1,1,0,1,2.48490665,1
24206,2019,fatick,2,1,3,1,0,1,2,0,0,0,1,0,0,1,1,0,0,1,1.945910149,1
24207,2019,fatick,1,0,3,3,2,0,0,2,1,1,0,0,0,0,0,1,0,0,1.945910149,1
24208,2019,fatick,1,2,0,2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1.609437912,1
24209,2019,fatick,2,2,1,3,1,0,0,3,0,0,0,0,0,0,1,1,1,1,2.079441542,1
2421,2019,dakar,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,0
24210,2019,dakar,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1.609437912,0
24211,2019,dakar,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1.386294361,0
24212,2019,dakar,3,4,4,2,1,1,0,1,3,0,0,0,1,1,2,1,1,1,2.564949357,0
2422,2019,dakar,3,2,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1,1.945910149,0
24221,2019,kolda,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361,0
242210,2019,kolda,1,3,2,2,0,0,1,0,1,0,0,2,1,0,1,1,1,0,2.079441542,0
242211,2019,kolda,4,2,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1.945910149,0
242212,2019,kolda,2,3,0,3,0,0,0,0,0,1,0,2,3,0,0,2,0,0,2.079441542,0
24222,2019,kolda,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6931471806,0
24223,2019,kolda,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289,0
24224,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24225,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24226,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24227,2019,kolda,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.098612289,0
24228,2019,kolda,1,2,3,1,1,0,0,1,0,0,2,0,1,0,1,1,0,0,1.945910149,0
24229,2019,kolda,2,7,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,2,2.197224577,0
2423,2019,dakar,2,1,2,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1.945910149,0
2424,2019,dakar,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1.386294361,0
24241,2019,kolda,1,3,3,1,0,0,2,0,1,0,0,1,2,1,1,0,0,0,2.079441542,0
242410,2019,kolda,2,3,0,3,0,1,0,0,0,2,0,0,1,1,2,0,0,1,2.079441542,0
242411,2019,kolda,3,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1.609437912,0
242412,2019,kolda,2,2,3,3,0,0,0,1,1,1,2,1,2,0,0,1,0,1,2.302585093,0
24242,2019,kolda,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806,0
24243,2019,kolda,3,2,1,3,0,0,1,1,0,2,0,0,1,2,1,0,0,1,2.197224577,0
24244,2019,kolda,2,1,2,3,0,0,1,1,1,2,0,1,0,0,0,1,1,0,2.079441542,0
24245,2019,kolda,1,3,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1.609437912,0
24246,2019,kolda,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1.386294361,0
24247,2019,kolda,3,1,2,6,1,2,1,1,0,2,0,1,0,1,1,1,0,1,2.48490665,0
24248,2019,kolda,5,1,4,2,2,0,0,1,2,1,0,0,0,4,0,0,1,1,2.48490665,0
24249,2019,kolda,2,2,4,2,1,0,1,1,2,0,0,1,2,1,0,0,0,1,2.302585093,0
2425,2019,dakar,1,2,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1.609437912,0
2426,2019,dakar,4,1,4,3,0,1,2,0,0,1,2,1,1,0,0,1,0,3,2.48490665,0
24261,2019,kolda,1,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.386294361,0
242610,2019,kolda,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361,0
242611,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242612,2019,kolda,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806,0
24262,2019,kolda,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806,0
24263,2019,kolda,2,1,3,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1.791759469,0
24264,2019,kolda,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1.098612289,0
24265,2019,kolda,1,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912,0
24266,2019,kolda,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289,0
24267,2019,kolda,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.098612289,0
24268,2019,kolda,2,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1.609437912,0
24269,2019,kolda,4,5,3,7,0,1,1,2,2,2,0,2,3,2,1,2,1,0,2.944438979,0
2427,2019,dakar,2,4,3,3,1,1,1,1,1,0,0,1,4,1,0,1,0,0,2.48490665,0
2428,2019,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24281,2019,kolda,4,4,1,1,0,0,0,1,0,0,1,0,3,3,0,1,1,0,2.302585093,0
242810,2019,kolda,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1.609437912,0
242811,2019,kolda,3,3,6,5,2,2,2,2,1,1,1,0,2,2,0,1,1,0,2.833213344,0
242812,2019,kolda,3,3,5,1,1,0,2,0,1,0,1,1,1,1,1,1,1,1,2.48490665,0
24282,2019,kolda,2,2,3,1,0,0,2,1,1,0,0,0,1,0,1,2,0,0,2.079441542,0
24283,2019,kolda,3,1,2,4,0,0,1,0,1,1,0,4,1,1,0,1,0,0,2.302585093,0
24284,2019,kolda,2,1,3,2,0,0,1,1,2,0,0,1,0,2,1,0,0,0,2.079441542,0
24285,2019,kolda,4,2,1,2,0,0,1,0,0,1,0,1,1,3,0,1,1,0,2.197224577,0
24286,2019,kolda,1,1,3,2,0,0,1,0,2,1,0,1,0,0,1,1,0,0,1.945910149,0
24287,2019,kolda,13,3,5,5,1,3,1,0,3,1,0,2,1,4,1,4,1,4,3.258096538,0
24288,2019,kolda,3,4,1,6,1,0,0,2,0,2,1,3,2,1,0,1,1,0,2.63905733,0
24289,2019,kolda,6,1,2,4,2,2,0,0,0,1,0,2,0,2,1,2,0,1,2.564949357,0
2429,2019,dakar,2,2,4,2,0,0,3,2,1,0,0,0,0,0,2,2,0,0,2.302585093,0
243,2019,dakar,2,5,1,2,1,0,0,1,0,1,0,0,3,0,2,1,0,1,2.302585093,0
24311,2019,kolda,1,1,4,1,1,0,0,0,1,1,2,0,0,0,1,1,0,0,1.945910149,1
243110,2019,kolda,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361,1
243111,2019,kolda,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361,1
243112,2019,kolda,4,1,4,5,0,2,2,2,1,0,1,1,0,2,1,1,0,1,2.63905733,1
24312,2019,kolda,2,1,1,2,0,0,0,0,1,2,1,0,0,1,0,1,0,0,1.791759469,1
24313,2019,kolda,1,1,3,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1.791759469,1
24314,2019,kolda,2,1,6,0,1,0,2,0,2,0,1,0,0,1,1,0,0,1,2.197224577,1
24315,2019,kolda,2,0,3,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1.791759469,1
24316,2019,kolda,2,1,5,2,1,0,1,1,3,0,0,1,0,1,0,1,1,0,2.302585093,1
24317,2019,kolda,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289,1
24318,2019,kolda,3,1,6,8,1,0,2,3,1,5,2,0,0,0,0,1,1,2,2.890371758,1
24319,2019,kolda,4,2,4,8,0,2,1,3,1,2,2,1,0,0,2,3,0,1,2.890371758,1
