i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
10106,2010,Nigeria,0,2,0,0,3,0,0,0,0,0,0,0,0,1
10107,2010,Nigeria,0,0,0,0,1,1,1,0,0,0,0,1,1,1
10108,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10109,2010,Nigeria,0,1,1,1,1,1,0,0,0,2,0,0,1,1
10110,2010,Nigeria,0,0,0,0,1,0,0,0,0,1,0,1,1,1
20001,2010,Nigeria,0,0,0,1,4,0,0,1,0,0,0,1,0,0
20002,2010,Nigeria,0,0,0,0,0,0,1,0,0,1,0,0,0,1
20003,2010,Nigeria,1,0,0,0,1,0,0,0,0,1,1,0,0,0
20004,2010,Nigeria,0,0,0,1,2,0,0,0,0,0,0,0,1,0
20005,2010,Nigeria,0,2,0,0,0,1,1,1,0,0,0,1,0,1
20006,2010,Nigeria,1,1,0,0,1,1,0,0,1,2,1,0,0,0
20007,2010,Nigeria,0,2,0,0,0,1,0,1,0,1,1,1,0,0
20008,2010,Nigeria,1,0,0,0,1,0,1,0,0,1,1,0,1,0
20009,2010,Nigeria,1,0,1,0,0,2,1,0,0,0,0,1,0,2
20010,2010,Nigeria,0,0,1,0,1,1,1,0,0,0,0,0,1,0
20011,2010,Nigeria,0,2,1,2,0,1,0,1,0,0,0,0,1,0
20012,2010,Nigeria,1,0,0,1,1,0,1,0,2,1,1,0,4,1
20013,2010,Nigeria,0,0,0,2,1,1,0,1,0,2,0,1,0,0
20014,2010,Nigeria,1,2,2,1,0,1,1,1,1,0,0,0,1,1
20015,2010,Nigeria,0,0,0,2,2,0,1,0,1,0,0,1,0,2
20016,2010,Nigeria,0,0,0,0,1,0,1,0,0,0,0,0,2,0
20017,2010,Nigeria,1,1,1,1,2,0,0,1,0,0,0,1,1,0
20018,2010,Nigeria,0,2,0,0,0,1,0,1,0,2,0,0,2,0
20019,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20020,2010,Nigeria,1,0,0,1,3,0,1,0,0,1,0,0,2,0
20021,2010,Nigeria,1,0,0,0,1,0,1,2,2,1,0,1,2,1
20022,2010,Nigeria,0,0,0,0,0,1,0,0,0,1,0,1,0,0
20023,2010,Nigeria,0,2,0,0,0,0,1,1,0,2,0,1,1,0
20024,2010,Nigeria,0,0,0,0,1,0,1,0,0,0,0,1,0,1
20025,2010,Nigeria,0,2,1,1,0,0,1,0,3,0,0,3,2,0
20026,2010,Nigeria,2,0,0,0,1,0,0,0,1,0,0,1,0,0
20027,2010,Nigeria,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20028,2010,Nigeria,1,2,0,0,0,1,0,0,3,1,0,0,2,0
20029,2010,Nigeria,0,0,0,0,0,1,0,0,0,1,0,1,0,1
20030,2010,Nigeria,1,0,1,1,1,1,0,0,0,0,1,0,1,0
20031,2010,Nigeria,0,1,0,0,0,1,0,0,1,1,0,0,1,0
20032,2010,Nigeria,1,1,0,0,2,1,0,0,0,1,0,1,0,0
20033,2010,Nigeria,0,0,0,0,2,2,0,0,0,0,0,2,0,1
20034,2010,Nigeria,1,0,3,0,0,1,0,0,2,2,0,2,1,1
20035,2010,Nigeria,0,1,0,0,0,0,0,0,2,1,0,0,0,1
20036,2010,Nigeria,0,2,0,0,0,1,0,1,1,0,0,1,0,0
20037,2010,Nigeria,0,1,1,1,1,0,0,0,2,0,0,2,0,1
20038,2010,Nigeria,0,3,0,0,0,0,0,0,0,0,0,1,1,1
20039,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20040,2010,Nigeria,0,1,0,2,1,1,0,1,1,1,0,0,1,0
20041,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,1,1,0
20042,2010,Nigeria,2,2,1,0,1,0,0,0,0,0,0,1,0,0
20043,2010,Nigeria,1,0,0,0,0,1,0,2,0,0,0,1,0,0
20044,2010,Nigeria,0,0,1,1,1,0,1,0,2,0,1,1,2,0
20045,2010,Nigeria,0,0,0,1,0,0,1,0,0,1,0,0,2,0
20046,2010,Nigeria,0,1,0,1,0,0,1,0,0,0,0,0,1,0
20047,2010,Nigeria,3,1,1,0,0,1,0,1,1,0,0,4,0,0
20048,2010,Nigeria,0,1,2,0,0,1,0,0,0,0,2,1,1,0
20049,2010,Nigeria,1,1,1,2,2,0,1,1,2,0,1,2,2,0
20050,2010,Nigeria,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20051,2010,Nigeria,1,3,2,0,1,1,0,0,3,0,1,0,2,0
20052,2010,Nigeria,1,0,0,0,1,1,0,1,1,1,1,0,1,0
20053,2010,Nigeria,0,0,0,0,0,1,0,2,0,0,0,1,0,0
20054,2010,Nigeria,0,0,0,0,1,0,0,1,1,0,1,1,0,0
20055,2010,Nigeria,0,0,0,1,2,0,1,0,0,0,2,1,0,1
20056,2010,Nigeria,0,3,0,0,0,1,0,0,1,3,1,2,0,1
20057,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20058,2010,Nigeria,0,0,0,0,1,0,0,1,0,0,0,1,0,0
20059,2010,Nigeria,0,0,0,2,4,1,1,0,0,1,0,0,3,0
20060,2010,Nigeria,2,0,0,0,0,1,0,0,2,0,1,0,1,0
20061,2010,Nigeria,0,2,0,0,1,1,0,0,1,0,0,0,1,0
20062,2010,Nigeria,1,2,2,0,1,0,0,0,1,1,2,1,1,0
